"ThetaMin","ThetaMax","PhiMin","PhiMax","P1_Q1_index","P2_Q2_index","P3_Q3_index","T_r"
-6,258,-6,258,33,34,41,944
-6,126,252,390,30,31,38,951
-6,126,384,522,30,31,38,949
120,258,252,390,30,31,38,951
120,258,384,522,30,31,38,949
252,522,-6,258,33,34,41,944
252,390,252,390,30,31,38,951
252,390,384,522,30,31,38,949
384,522,252,390,30,31,38,951
384,522,384,522,30,31,38,949
-6,126,516,654,32,33,40,947
-6,126,648,786,32,33,40,945
120,258,516,654,32,33,40,947
120,258,648,786,32,33,40,945
-6,126,780,918,32,33,40,942
-6,126,912,1050,33,34,41,940
120,258,780,918,33,34,41,942
120,258,912,1050,33,34,41,940
252,390,516,654,32,33,40,947
252,390,648,786,32,33,40,945
384,522,516,654,32,33,40,947
384,522,648,786,32,33,40,944
252,390,780,918,33,34,41,942
252,390,912,1050,33,34,41,940
384,522,780,918,33,34,41,942
384,522,912,1050,33,34,41,940
516,786,-6,258,33,34,41,944
516,654,252,390,30,31,38,951
516,654,384,522,30,31,38,949
648,786,252,390,30,31,38,951
648,786,384,522,30,31,38,949
780,1050,-6,258,33,34,41,944
780,918,252,390,30,31,38,951
780,918,384,522,30,31,38,949
912,1050,252,390,30,31,38,951
912,1050,384,522,30,31,38,949
516,654,516,654,32,33,40,947
516,654,648,786,32,33,40,944
648,786,516,654,32,33,40,947
648,786,648,786,32,33,40,944
516,654,780,918,33,34,41,942
516,654,912,1050,33,34,41,940
648,786,780,918,33,34,41,942
648,786,912,1050,33,34,41,940
780,918,516,654,32,33,40,947
780,918,648,786,32,33,40,944
912,1050,516,654,32,33,40,947
912,1050,648,786,32,33,40,944
780,918,780,918,33,34,41,942
780,918,912,1050,33,34,41,940
912,1050,780,918,33,34,41,942
912,1050,912,1050,33,34,41,940
-6,126,1044,1176,33,34,41,941
-6,126,1170,1308,33,34,41,946
120,258,1044,1176,33,34,41,941
120,258,1170,1308,33,34,41,946
-6,258,1302,1572,34,40,82,935
252,390,1044,1176,33,34,41,941
252,390,1170,1308,33,34,41,946
384,522,1044,1176,33,34,41,940
384,522,1170,1308,33,34,41,945
252,522,1302,1572,34,40,82,934
-6,258,1566,1836,34,40,81,933
-6,258,1830,2100,34,40,81,929
252,522,1566,1836,34,40,81,932
252,522,1830,2100,34,40,81,930
516,654,1044,1176,33,34,41,940
